 Format                 IAGA-2002                                    |
 Source of Data         United States Geological Survey (USGS)       |
 Station Name           Boulder                                      |
 IAGA CODE              BOU                                          |
 Geodetic Latitude      40.137                                       |
 Geodetic Longitude     254.763                                      |
 Elevation              1682                                         |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.01 second                                  |
 Data Interval Type     filtered 1-minute (00:15-01:45)              |
 Data Type              variation                                    |
 # DECBAS               5527                                         |
 #                                                                   |
 # Request: /ws/edge/?id=BOU&starttime=2018-01-17                    |
 # Request submitted: 2018-01-21T18:03:55Z                           |
 # Service URL: http://geomag.usgs.gov/ws/edge/                      |
 # Service version: 0.3.4                                            |
DATE       TIME         DOY     BOUX      BOUY      BOUZ      BOUF   |
2018-01-17 01:37:00.000 017     20570.10   3318.48  47103.75  52028.07
2018-01-17 01:38:00.000 017     20570.09   3318.49  47103.69  52028.02
2018-01-17 01:39:00.000 017     20570.05   3318.49  47103.67  52027.98
2018-01-17 01:40:00.000 017     20569.93   3318.56  47103.66  52027.93
2018-01-17 01:41:00.000 017     20569.93   3318.62  47103.65  52027.93
2018-01-17 01:42:00.000 017     20569.89   3318.61  47103.67  52027.94
2018-01-17 01:43:00.000 017     20569.93   3318.73  47103.64  52027.94
2018-01-17 01:44:00.000 017     20569.96   3318.82  47103.66  52027.96
2018-01-17 01:45:00.000 017     20570.02   3318.89  47103.67  52027.99
2018-01-17 01:46:00.000 017     20570.09   3318.94  47103.67  52028.04
2018-01-17 01:47:00.000 017     20570.15   3318.91  47103.67  52028.06
2018-01-17 01:48:00.000 017     20570.06   3318.93  47103.69  52028.03
2018-01-17 01:49:00.000 017     20570.29   3318.90  47103.67  52028.10
2018-01-17 01:50:00.000 017     20570.29   3318.86  47103.68  52028.11
2018-01-17 01:51:00.000 017     20570.43   3318.91  47103.64  52028.13
2018-01-17 01:52:00.000 017     20570.63   3319.10  47103.60  52028.17
2018-01-17 01:53:00.000 017     20570.60   3319.37  47103.61  52028.20
2018-01-17 01:54:00.000 017     20570.66   3319.44  47103.65  52028.27
2018-01-17 01:55:00.000 017     20570.62   3319.34  47103.71  52028.30
2018-01-17 01:56:00.000 017     20570.52   3319.19  47103.71  52028.26
2018-01-17 01:57:00.000 017     20570.33   3319.21  47103.66  52028.15
2018-01-17 01:58:00.000 017     20570.26   3319.34  47103.65  52028.11
2018-01-17 01:59:00.000 017     20570.19   3319.53  47103.63  52028.08
2018-01-17 02:00:00.000 017     20570.17   3319.62  47103.66  52028.09
2018-01-17 02:01:00.000 017     20570.04   3319.56  47103.69  52028.07
2018-01-17 02:02:00.000 017     20569.65   3319.47  47103.75  52027.95
2018-01-17 02:03:00.000 017     20569.42   3319.31  47103.74  52027.86
2018-01-17 02:04:00.000 017     20569.17   3319.13  47103.74  52027.76
2018-01-17 02:05:00.000 017     20569.18   3318.90  47103.73  52027.74
2018-01-17 02:06:00.000 017     20569.05   3318.71  47103.71  52027.66
2018-01-17 02:07:00.000 017     20569.08   3318.54  47103.70  52027.64
2018-01-17 02:08:00.000 017     20569.15   3318.50  47103.65  52027.63
2018-01-17 02:09:00.000 017     20569.17   3318.44  47103.61  52027.60
2018-01-17 02:10:00.000 017     20569.16   3318.37  47103.64  52027.60
2018-01-17 02:11:00.000 017     20569.07   3318.37  47103.61  52027.55
2018-01-17 02:12:00.000 017     20568.98   3318.33  47103.62  52027.52
2018-01-17 02:13:00.000 017     20568.92   3318.39  47103.60  52027.47
2018-01-17 02:14:00.000 017     20568.99   3318.37  47103.57  52027.48
2018-01-17 02:15:00.000 017     20569.01   3318.36  47103.56  52027.49
2018-01-17 02:16:00.000 017     20569.00   3318.38  47103.57  52027.50
2018-01-17 02:17:00.000 017     20568.98   3318.47  47103.56  52027.47
2018-01-17 02:18:00.000 017     20568.97   3318.55  47103.57  52027.49
2018-01-17 02:19:00.000 017     20568.99   3318.58  47103.59  52027.51
2018-01-17 02:20:00.000 017     20569.05   3318.48  47103.62  52027.54
2018-01-17 02:21:00.000 017     20568.97   3318.48  47103.60  52027.50
2018-01-17 02:22:00.000 017     20568.88   3318.49  47103.60  52027.47
2018-01-17 02:23:00.000 017     20568.80   3318.44  47103.61  52027.46
2018-01-17 02:24:00.000 017     20568.69   3318.38  47103.60  52027.42
2018-01-17 02:25:00.000 017     20568.68   3318.41  47103.58  52027.39
2018-01-17 02:26:00.000 017     20568.73   3318.48  47103.55  52027.39
2018-01-17 02:27:00.000 017     20568.77   3318.58  47103.55  52027.40
2018-01-17 02:28:00.000 017     20568.87   3318.71  47103.54  52027.44
2018-01-17 02:29:00.000 017     20568.92   3318.74  47103.56  52027.48
2018-01-17 02:30:00.000 017     20568.96   3318.71  47103.57  52027.50
2018-01-17 02:31:00.000 017     20569.07   3318.76  47103.56  52027.55
2018-01-17 02:32:00.000 017     20569.16   3318.69  47103.57  52027.59
2018-01-17 02:33:00.000 017     20569.16   3318.69  47103.56  52027.57
2018-01-17 02:34:00.000 017     20569.01   3318.84  47103.55  52027.51
2018-01-17 02:35:00.000 017     20568.87   3318.88  47103.56  52027.48
2018-01-17 02:36:00.000 017     20568.82   3318.88  47103.58  52027.47
2018-01-17 02:37:00.000 017     20568.92   3318.91  47103.56  52027.50
2018-01-17 02:38:00.000 017     20568.99   3318.92  47103.56  52027.53
2018-01-17 02:39:00.000 017     20568.98   3318.94  47103.55  52027.53
2018-01-17 02:40:00.000 017     20568.92   3318.97  47103.57  52027.50
2018-01-17 02:41:00.000 017     20568.84   3318.86  47103.60  52027.51
2018-01-17 02:42:00.000 017     20568.76   3318.72  47103.60  52027.47
2018-01-17 02:43:00.000 017     20568.65   3318.60  47103.60  52027.41
2018-01-17 02:44:00.000 017     20568.51   3318.54  47103.60  52027.35
2018-01-17 02:45:00.000 017     20568.48   3318.45  47103.58  52027.33
2018-01-17 02:46:00.000 017     20568.51   3318.41  47103.54  52027.31
2018-01-17 02:47:00.000 017     20568.46   3318.38  47103.55  52027.28
2018-01-17 02:48:00.000 017     20568.42   3318.48  47103.51  52027.24
2018-01-17 02:49:00.000 017     20568.34   3318.61  47103.52  52027.21
2018-01-17 02:50:00.000 017     20568.28   3318.67  47103.54  52027.22
2018-01-17 02:51:00.000 017     20568.23   3318.65  47103.58  52027.23
2018-01-17 02:52:00.000 017     20568.18   3318.56  47103.60  52027.22
2018-01-17 02:53:00.000 017     20568.22   3318.49  47103.59  52027.22
2018-01-17 02:54:00.000 017     20568.29   3318.54  47103.56  52027.23
2018-01-17 02:55:00.000 017     20568.41   3318.59  47103.56  52027.27
2018-01-17 02:56:00.000 017     20568.58   3318.60  47103.55  52027.34
2018-01-17 02:57:00.000 017     20568.59   3318.61  47103.55  52027.35
2018-01-17 02:58:00.000 017     20568.53   3318.61  47103.57  52027.35
2018-01-17 02:59:00.000 017     20568.47   3318.71  47103.56  52027.31
2018-01-17 03:00:00.000 017     20568.44   3318.74  47103.57  52027.32
2018-01-17 03:01:00.000 017     20568.31   3318.83  47103.58  52027.29
2018-01-17 03:02:00.000 017     20568.33   3318.86  47103.59  52027.31
2018-01-17 03:03:00.000 017     20568.29   3318.87  47103.62  52027.32
2018-01-17 03:04:00.000 017     20568.22   3318.89  47103.61  52027.29
2018-01-17 03:05:00.000 017     20568.05   3318.94  47103.62  52027.23
2018-01-17 03:06:00.000 017     20567.95   3318.96  47103.64  52027.20
2018-01-17 03:07:00.000 017     20567.92   3318.87  47103.66  52027.21
2018-01-17 03:08:00.000 017     20567.87   3318.75  47103.64  52027.17
2018-01-17 03:09:00.000 017     20567.84   3318.69  47103.62  52027.13
2018-01-17 03:10:00.000 017     20567.83   3318.71  47103.59  52027.12
2018-01-17 03:11:00.000 017     20567.91   3318.66  47103.60  52027.14
2018-01-17 03:12:00.000 017     20567.80   3318.81  47103.57  52027.08
2018-01-17 03:13:00.000 017     20567.81   3318.90  47103.58  52027.09
2018-01-17 03:14:00.000 017     20567.70   3319.01  47103.59  52027.07
2018-01-17 03:15:00.000 017     20567.71   3318.98  47103.60  52027.08
2018-01-17 03:16:00.000 017     20567.67   3318.87  47103.63  52027.08
2018-01-17 03:17:00.000 017     20567.55   3318.91  47103.59  52027.01
2018-01-17 03:18:00.000 017     20567.43   3318.99  47103.59  52026.97
2018-01-17 03:19:00.000 017     20567.43   3319.04  47103.59  52026.97
2018-01-17 03:20:00.000 017     20567.43   3319.11  47103.58  52026.96
2018-01-17 03:21:00.000 017     20567.44   3319.08  47103.59  52026.98
2018-01-17 03:22:00.000 017     20567.38   3319.17  47103.57  52026.93
2018-01-17 03:23:00.000 017     20567.43   3319.28  47103.55  52026.95
2018-01-17 03:24:00.000 017     20567.43   3319.32  47103.57  52026.96
2018-01-17 03:25:00.000 017     20567.43   3319.33  47103.58  52026.98
2018-01-17 03:26:00.000 017     20567.30   3319.46  47103.56  52026.91
2018-01-17 03:27:00.000 017     20567.19   3319.61  47103.56  52026.87
2018-01-17 03:28:00.000 017     20567.13   3319.67  47103.58  52026.87
2018-01-17 03:29:00.000 017     20567.00   3319.72  47103.59  52026.84
2018-01-17 03:30:00.000 017     20566.93   3319.74  47103.59  52026.81
2018-01-17 03:31:00.000 017     20566.93   3319.72  47103.61  52026.82
2018-01-17 03:32:00.000 017     20566.88   3319.71  47103.59  52026.79
2018-01-17 03:33:00.000 017     20566.81   3319.73  47103.59  52026.75
2018-01-17 03:34:00.000 017     20566.77   3319.67  47103.60  52026.74
2018-01-17 03:35:00.000 017     20566.59   3319.62  47103.61  52026.68
2018-01-17 03:36:00.000 017     20566.55   3319.55  47103.59  52026.63
2018-01-17 03:37:00.000 017     20566.62   3319.48  47103.57  52026.65
2018-01-17 03:38:00.000 017     20566.72   3319.39  47103.56  52026.68
2018-01-17 03:39:00.000 017     20566.93   3319.30  47103.53  52026.73
2018-01-17 03:40:00.000 017     20567.06   3319.28  47103.48  52026.74
2018-01-17 03:41:00.000 017     20567.15   3319.23  47103.45  52026.75
2018-01-17 03:42:00.000 017     20567.21   3319.27  47103.44  52026.76
2018-01-17 03:43:00.000 017     20567.20   3319.31  47103.43  52026.76
2018-01-17 03:44:00.000 017     20567.22   3319.26  47103.43  52026.77
2018-01-17 03:45:00.000 017     20567.22   3319.23  47103.43  52026.76
2018-01-17 03:46:00.000 017     20567.25   3319.22  47103.41  52026.75
2018-01-17 03:47:00.000 017     20567.29   3319.29  47103.38  52026.75
2018-01-17 03:48:00.000 017     20567.37   3319.41  47103.37  52026.78
2018-01-17 03:49:00.000 017     20567.46   3319.50  47103.37  52026.81
2018-01-17 03:50:00.000 017     20567.43   3319.53  47103.40  52026.83
2018-01-17 03:51:00.000 017     20567.39   3319.52  47103.41  52026.83
2018-01-17 03:52:00.000 017     20567.34   3319.58  47103.40  52026.79
2018-01-17 03:53:00.000 017     20567.19   3319.69  47103.42  52026.74
2018-01-17 03:54:00.000 017     20567.02   3319.79  47103.41  52026.69
2018-01-17 03:55:00.000 017     20566.85   3319.89  47103.41  52026.63
2018-01-17 03:56:00.000 017     20566.80   3319.91  47103.43  52026.61
2018-01-17 03:57:00.000 017     20566.75   3319.92  47103.44  52026.61
2018-01-17 03:58:00.000 017     20566.72   3319.91  47103.42  52026.59
2018-01-17 03:59:00.000 017     20566.58   3319.80  47103.43  52026.54
2018-01-17 04:00:00.000 017     20566.50   3319.76  47103.44  52026.49
2018-01-17 04:01:00.000 017     20566.30   3319.73  47103.41  52026.40
2018-01-17 04:02:00.000 017     20566.20   3319.76  47103.39  52026.35
2018-01-17 04:03:00.000 017     20566.24   3319.73  47103.38  52026.36
2018-01-17 04:04:00.000 017     20566.33   3319.64  47103.39  52026.39
2018-01-17 04:05:00.000 017     20566.13   3319.61  47103.36  52026.28
2018-01-17 04:06:00.000 017     20565.86   3319.84  47103.32  52026.16
2018-01-17 04:07:00.000 017     20565.75   3320.03  47103.34  52026.14
2018-01-17 04:08:00.000 017     20565.59   3320.02  47103.38  52026.12
2018-01-17 04:09:00.000 017     20565.42   3320.02  47103.39  52026.06
2018-01-17 04:10:00.000 017     20565.26   3319.97  47103.39  52026.00
2018-01-17 04:11:00.000 017     20565.20   3319.97  47103.39  52025.96
2018-01-17 04:12:00.000 017     20565.17   3320.01  47103.37  52025.95
2018-01-17 04:13:00.000 017     20565.07   3320.04  47103.38  52025.92
2018-01-17 04:14:00.000 017     20565.06   3320.00  47103.39  52025.91
2018-01-17 04:15:00.000 017     20565.07   3320.03  47103.36  52025.90
2018-01-17 04:16:00.000 017     20565.05   3320.16  47103.37  52025.90
2018-01-17 04:17:00.000 017     20565.15   3320.19  47103.38  52025.94
2018-01-17 04:18:00.000 017     20565.27   3320.16  47103.40  52026.01
2018-01-17 04:19:00.000 017     20565.48   3320.13  47103.39  52026.08
2018-01-17 04:20:00.000 017     20565.73   3320.04  47103.39  52026.18
2018-01-17 04:21:00.000 017     20565.99   3319.91  47103.39  52026.27
2018-01-17 04:22:00.000 017     20566.19   3319.85  47103.37  52026.32
2018-01-17 04:23:00.000 017     20566.29   3319.80  47103.36  52026.35
2018-01-17 04:24:00.000 017     20566.27   3319.73  47103.36  52026.33
2018-01-17 04:25:00.000 017     20566.20   3319.67  47103.37  52026.31
2018-01-17 04:26:00.000 017     20566.17   3319.59  47103.37  52026.29
2018-01-17 04:27:00.000 017     20566.14   3319.51  47103.35  52026.25
2018-01-17 04:28:00.000 017     20566.11   3319.55  47103.31  52026.21
2018-01-17 04:29:00.000 017     20566.13   3319.74  47103.26  52026.19
2018-01-17 04:30:00.000 017     20565.92   3319.73  47103.31  52026.16
2018-01-17 04:31:00.000 017     20566.05   3319.73  47103.30  52026.19
2018-01-17 04:32:00.000 017     20566.16   3319.71  47103.27  52026.21
2018-01-17 04:33:00.000 017     20566.14   3319.70  47103.26  52026.21
2018-01-17 04:34:00.000 017     20566.25   3319.76  47103.22  52026.23
2018-01-17 04:35:00.000 017     20566.13   3319.71  47103.26  52026.21
2018-01-17 04:36:00.000 017     20566.01   3319.45  47103.31  52026.18
2018-01-17 04:37:00.000 017     20566.22   3319.44  47103.22  52026.18
2018-01-17 04:38:00.000 017     20566.04   3319.59  47103.19  52026.09
2018-01-17 04:39:00.000 017     20565.69   3319.58  47103.27  52026.03
2018-01-17 04:40:00.000 017     20565.71   3319.30  47103.29  52026.04
2018-01-17 04:41:00.000 017     20565.86   3319.29  47103.20  52026.01
2018-01-17 04:42:00.000 017     20565.83   3319.39  47103.21  52026.00
2018-01-17 04:43:00.000 017     20565.65   3319.03  47103.29  52025.99
2018-01-17 04:44:00.000 017     20565.89   3318.98  47103.16  52025.97
2018-01-17 04:45:00.000 017     20565.99   3319.27  47103.11  52025.98
2018-01-17 04:46:00.000 017     20565.60   3318.96  47103.24  52025.95
2018-01-17 04:47:00.000 017     20565.77   3319.05  47103.14  52025.92
2018-01-17 04:48:00.000 017     20565.84   3319.03  47103.14  52025.95
2018-01-17 04:49:00.000 017     20565.62   3318.82  47103.23  52025.93
2018-01-17 04:50:00.000 017     20565.64   3318.68  47103.16  52025.87
2018-01-17 04:51:00.000 017     20565.72   3318.69  47103.12  52025.86
2018-01-17 04:52:00.000 017     20565.52   3318.73  47103.13  52025.81
2018-01-17 04:53:00.000 017     20565.40   3318.64  47103.11  52025.74
2018-01-17 04:54:00.000 017     20565.57   3318.72  47103.12  52025.80
2018-01-17 04:55:00.000 017     20565.49   3318.47  47103.15  52025.79
2018-01-17 04:56:00.000 017     20565.42   3318.48  47103.08  52025.69
